sido_name,year,grdp_per_capita
충청남도,2021,57622.0
충청남도,2022,58937.0
충청북도,2008,22378.0
충청북도,2009,23467.0
충청북도,2010,26455.0
충청북도,2011,28050.0
충청북도,2012,29177.0
충청북도,2013,30507.0
충청북도,2014,31729.0
충청북도,2015,34728.0
충청북도,2016,37273.0
충청북도,2017,40590.0
충청북도,2018,43016.0
충청북도,2019,42704.0
충청북도,2020,42667.0
충청북도,2021,46123.0
충청북도,2022,48616.0
