sido_name,year,low_income_pop
제주특별자치도,2014,17959.0
제주특별자치도,2015,22488.0
제주특별자치도,2016,21418.0
제주특별자치도,2017,20053.0
제주특별자치도,2018,21341.0
제주특별자치도,2019,22553.0
제주특별자치도,2020,26896.0
제주특별자치도,2021,30634.0
제주특별자치도,2022,31697.0
제주특별자치도,2023,33202.0
제주특별자치도,2024,35293.0
충청남도,2009,69941.0
충청남도,2010,67657.0
충청남도,2011,61713.0
충청남도,2012,53594.0
충청남도,2013,50284.0
충청남도,2014,48695.0
충청남도,2015,59366.0
충청남도,2016,57896.0
충청남도,2017,55602.0
충청남도,2018,60852.0
충청남도,2019,64162.0
충청남도,2020,70991.0
충청남도,2021,79773.0
충청남도,2022,83610.0
충청남도,2023,87637.0
충청남도,2024,92378.0
충청북도,2009,53432.0
충청북도,2010,51817.0
충청북도,2011,47909.0
충청북도,2012,43908.0
충청북도,2013,40668.0
충청북도,2014,39339.0
충청북도,2015,49727.0
충청북도,2016,48294.0
충청북도,2017,46052.0
충청북도,2018,53726.0
충청북도,2019,57076.0
충청북도,2020,63967.0
충청북도,2021,71095.0
충청북도,2022,73264.0
충청북도,2023,76073.0
충청북도,2024,79187.0
