region13,year,judges
서울,2024,
경기,2024,
인천,2024,
강원,2024,
충북,2024,
대전권,2024,
대구권,2024,
부산,2024,
울산,2024,
경남,2024,
광주권,2024,
전북,2024,
제주,2024,
