region,year,population,low_income_pop,grdp_per_capita,business_count,judges,practicing,aid_cases,total_cases,civil_main,criminal_trial
충남권,2016,3854145.0,113077.0,40090.31409145219,,,,11987.0,,,
경북권,2016,5184955.0,200073.0,31204.77154266527,,,,15707.0,,,
경남권,2016,8044704.0,259827.0,33859.460551562865,,,,23159.0,,,
전북,2016,1864791.0,94287.0,26089.0,,,,6788.0,,,
전남권,2016,3373128.0,144126.0,33154.204492091616,,,,9358.0,,,
제주,2016,641597.0,21418.0,30284.0,,,,2110.0,,,
서울,2017,9857426.0,251809.0,41374.0,,,,33056.0,,,
경기,2017,15822437.0,340191.0,34370.954151563375,,,,38145.0,,,
강원,2017,1550142.0,56528.0,29925.0,,,,4861.0,,,
충북,2017,1594432.0,46052.0,40590.0,,,,5282.0,,,
충남권,2017,3899097.0,108703.0,42232.05060069037,,,,10197.0,,,
경북권,2017,5166937.0,190647.0,32114.243194759292,,,,15586.0,,,
경남권,2017,8016189.0,252570.0,34433.693497745626,,,,23626.0,,,
전북,2017,1854607.0,89275.0,26988.0,,,,7077.0,,,
전남권,2017,3360194.0,135822.0,34177.510888954625,,,,9528.0,,,
제주,2017,657083.0,20053.0,31470.0,,,,2088.0,,,
서울,2018,9765623.0,277991.0,43664.0,,,,33627.0,,,
경기,2018,16031795.0,386945.0,35599.65126556321,,,,41038.0,,,
강원,2018,1543052.0,62914.0,30856.0,,,,4769.0,,,
충북,2018,1599252.0,53726.0,43016.0,,,,5779.0,,,
충남권,2018,3930344.0,118564.0,41915.01044590499,,,,10903.0,,,
경북권,2018,5138600.0,205632.0,32280.75131475499,,,,14913.0,,,
경남권,2018,7971064.0,281995.0,34639.44792251072,,,,23696.0,,,
전북,2018,1836832.0,95745.0,27797.0,,,,7087.0,,,
전남권,2018,3342306.0,148928.0,35373.347268023936,,,,10464.0,,,
제주,2018,667191.0,21341.0,30721.0,,,,2309.0,,,
서울,2019,9729107.0,306548.0,45118.0,,1091.0,,33706.0,556780.0,489771.0,48225.0
경기,2019,16196692.0,429622.0,35063.517773135405,,716.0,,46058.0,272314.0,181722.0,71414.0
강원,2019,1541502.0,67269.0,32192.0,,76.0,,5089.0,24022.0,14139.0,8016.0
충북,2019,1600007.0,57076.0,42704.0,,76.0,,5007.0,23912.0,15193.0,6984.0
충남권,2019,3939154.0,125687.0,41755.7447324984,,202.0,,11984.0,63249.0,39891.0,18402.0
경북권,2019,5103867.0,219361.0,32344.011496577008,,235.0,,15782.0,81716.0,51085.0,24768.0
경남권,2019,7924413.0,308395.0,35757.17349726724,,403.0,,27994.0,145018.0,94630.0,40408.0
전북,2019,1818917.0,100656.0,28835.0,,82.0,,7857.0,28412.0,18400.0,7930.0
전남권,2019,3325213.0,154845.0,36567.77007127062,,182.0,,11741.0,57431.0,36355.0,16842.0
제주,2019,670989.0,22553.0,30792.0,,32.0,,2821.0,13537.0,8417.0,4074.0
서울,2020,9668465.0,359244.0,46221.0,848552.0,,,30263.0,493711.0,427594.0,47673.0
경기,2020,16369842.0,500664.0,35414.68733601705,1205354.0,,,36508.0,300062.0,201429.0,79451.0
