region,year,population,low_income_pop,grdp_per_capita,practicing,aid_cases,total_cases,civil_main,criminal_trial,A1,A2,A3,A1n,A2n,A3n,A2n_inv,LLAI_equal,LLAI_entropy,LLAI_pca,LLAI,cluster,cluster_rank
부산,2024,3266598.0,238549.0,,1210.0,9479.682731274364,64768.0,43434.0,18049.0,37.041594955975604,53.527272727272724,0.0397389330128165,0.9999999999999999,0.0,0.19360109626628752,1.0,73.12003654220958,68.50858727085797,96.76583636201507,68.50858727085797,2,0
울산,2024,1098049.0,45042.0,,252.0,3186.543352868362,22465.0,13675.0,6967.0,22.949795500929376,89.14682539682539,0.0707460448663106,0.42226416569976954,0.5281549887395022,1.0,0.4718450112604978,63.13697256534224,65.81968521611459,46.92364169012265,65.81968521611459,1,1
제주,2024,670368.0,35293.0,,154.0,2495.0,14778.0,9026.0,4872.0,22.972456919184687,95.96103896103897,0.07069390530700138,0.423193238911741,0.6291939018798166,0.9986440116168585,0.3708060981201834,59.75477828829276,63.7018000687114,42.11238081478543,63.7018000687114,1,1
광주권,2024,3197241.0,203162.0,,629.0,8742.0,59419.0,38921.0,16962.0,19.673211997469068,94.46581875993641,0.04302970043610518,0.287930739364488,0.607023269480173,0.2791837604989631,0.39297673051982696,32.00304101277594,30.637085503972443,33.80075729606985,30.637085503972443,0,2
대전권,2024,3966416.0,178605.0,,813.0,6686.0,67013.0,43280.0,19380.0,20.497093597847527,82.42681426814268,0.03743456230228717,0.32170825126264435,0.42851287826930007,0.1336715541810085,0.5714871217306999,34.228897572478424,30.024559040068578,43.40738979575913,30.024559040068578,0,2
경기,2024,13694685.0,483643.0,,1883.0,25925.832388363156,200902.0,138246.0,48930.0,13.74985989089928,106.69251194901753,0.05360530885046027,0.04508504871582719,0.7883166468425559,0.5542225668201639,0.21168335315744413,27.033032289781172,27.857555988766602,14.548065966393404,27.857555988766602,4,3
경남,2024,3228380.0,178321.0,,420.0,9368.773915857271,43385.0,27262.0,13138.0,13.009620924426494,103.29761904761905,0.05253881436206208,0.014736718948506256,0.7379782936705185,0.5264863497114609,0.2620217063294815,26.77482583298162,26.603506449267822,15.397097532350006,26.603506449267822,4,3
전북,2024,1738690.0,130243.0,,321.0,4935.0,27523.0,17321.0,8504.0,18.462175545957013,85.74143302180686,0.03789071197684329,0.23828064627919632,0.4776609528326755,0.14553459383586398,0.5223390471673245,30.205142909412825,26.11630311913392,37.09240344989209,26.11630311913392,0,2
대구권,2024,4895013.0,306063.0,,847.0,12661.0,78234.0,49661.0,23805.0,17.303324832845185,92.3659976387249,0.0413673001963648,0.19077006498651905,0.5758878138803495,0.2359498812125813,0.4241121861196505,28.361071077291694,25.696304640791762,30.459864090776396,25.696304640791762,0,2
인천,2024,3021010.0,177093.0,,748.0,5719.167611636848,81341.0,54582.0,22003.0,24.75993128126024,108.74465240641712,0.03229471301314478,0.49647614328164325,0.8187451092722996,0.0,0.1812548907277004,22.591034466978122,23.70074958935768,32.52414420080829,23.70074958935768,5,4
충북,2024,1591177.0,79187.0,,232.0,2891.0,24972.0,15708.0,7690.0,14.580401803193485,107.63793103448276,0.03650851781226717,0.07913562019545284,0.8023350094837246,0.10958800634562293,0.1976649905162754,12.879620568578371,11.568920014430775,13.725732982274927,11.568920014430775,3,5
강원,2024,1517766.0,84290.0,,192.0,3020.0,23226.0,13904.0,7805.0,12.650171370290282,120.96875,0.03582868667694863,0.0,1.0,0.09190770497362843,0.0,3.0635901657876143,3.589170889136653,0.3686073432144841,3.589170889136653,3,5
