,A1(변호사),"A2(사건부담,역)",A3(취약계층)
equal,0.3333333333333333,0.3333333333333333,0.3333333333333333
entropy,0.22892566755549984,0.19023239777896306,0.5808419346655371
pca,0.401826371098761,0.34446369306213925,0.2537099358390997
