region,year,population,low_income_pop,grdp_per_capita,practicing,aid_cases,total_cases,civil_main,criminal_trial,A1,A2,A3,A1n,A2n,A3n,A2n_inv,LLAI_equal,LLAI_entropy,LLAI_pca,LLAI,cluster,cluster_rank
제주,2024,670368.0,35293.0,,154.0,2495.0,14778.0,9026.0,4872.0,22.972456919184687,95.96103896103897,0.07069390530700138,0.8505699782000111,0.515024769514463,1.0,0.48497523048553703,77.85150695618493,86.78172356863105,76.25477424814726,86.78172356863105,1,0
경남권,2024,7593027.0,461912.0,,1882.0,22035.0,130618.0,84371.0,38154.0,24.785898957029918,69.403825717322,0.04770389165035764,1.0,0.0,0.3406031982593949,1.0,78.02010660864649,61.69946859647193,83.27044797378835,61.69946859647193,1,0
전남권,2024,3197241.0,203162.0,,629.0,8742.0,59419.0,38921.0,16962.0,19.673211997469068,94.46581875993641,0.04302970043610518,0.5787078341188758,0.4860279228807749,0.20653860902365007,0.5139720771192251,43.307284008725034,35.02215031155112,46.19856859694057,35.02215031155112,0,1
충남권,2024,3966416.0,178605.0,,813.0,6686.0,67013.0,43280.0,19380.0,20.497093597847527,82.42681426814268,0.03743456230228717,0.64659676739377,0.25255517644957437,0.046059531201514625,0.7474448235504256,48.00337073819034,31.696412481919396,52.89729975923022,31.696412481919396,0,1
경기,2024,16715695.0,660736.0,,2631.0,31645.0,282243.0,192828.0,70933.0,15.739698528837717,107.27594070695552,0.04789356111972104,0.2545811230900794,0.7344549714069055,0.3460432751272884,0.2655450285930945,28.872314227015405,30.97918664609059,28.156264719509856,30.97918664609059,0,1
경북권,2024,4895013.0,306063.0,,847.0,12661.0,78234.0,49661.0,23805.0,17.303324832845185,92.3659976387249,0.0413673001963648,0.3834259980950192,0.44530603391415235,0.1588578456422487,0.5546939660858476,36.56592699410385,28.556811417371268,38.54464233020906,28.556811417371268,0,1
전북,2024,1738690.0,130243.0,,321.0,4935.0,27523.0,17321.0,8504.0,18.462175545957013,85.74143302180686,0.03789071197684329,0.47891682918273015,0.31683566943533914,0.059142761207791494,0.6831643305646609,40.707464031839415,27.394893934599086,44.27718259546248,27.394893934599086,0,1
충북,2024,1591177.0,79187.0,,232.0,2891.0,24972.0,15708.0,7690.0,14.580401803193485,107.63793103448276,0.03650851781226717,0.15905353997994398,0.741475059820937,0.01949883471353142,0.258524940179063,14.569243829084613,9.691699795163133,15.791141052740853,9.691699795163133,0,1
강원,2024,1517766.0,84290.0,,192.0,3020.0,23226.0,13904.0,7805.0,12.650171370290282,120.96875,0.03582868667694863,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
