k,inertia,silhouette
2,0.9575499375449723,0.6178802192602189
3,0.3105028402090669,0.5404098256769652
4,0.16917898732397396,0.3055805679827653
5,0.10208365586859934,0.2950731619301327
6,0.03519613367721944,0.3035311837424517
