region,year,population,low_income_pop,grdp_per_capita,business_count,judges,practicing,aid_cases,total_cases,civil_main,criminal_trial,A1,A2,A3,A1n,A2n,A3n,A2n_inv,LLAI_equal,LLAI_entropy,LLAI_pca,LLAI
서울,2024,9331828.0,434287.0,,,1091.0,24572.0,22072.0,398500.0,340346.0,41876.0,263.31389734144267,16.21764610125346,0.0508235337461172,1.0,0.0,0.4300803969788811,1.0,81.00267989929604,86.92536070236497,89.22728402027101,86.92536070236497
제주,2024,670368.0,35293.0,,,32.0,154.0,2495.0,14778.0,9026.0,4872.0,22.972456919184687,95.96103896103897,0.07069390530700138,0.04117981374809032,0.7612654176596197,1.0,0.23873458234038025,42.66381320294902,28.710397327561626,30.265486138235325,28.710397327561626
경남권,2024,7593027.0,461912.0,,,403.0,1882.0,22035.0,130618.0,84371.0,38154.0,24.785898957029918,69.403825717322,0.04770389165035764,0.0484143748351378,0.5077386073895587,0.3406031982593949,0.49226139261044133,29.375965523499133,17.376886743008605,28.391371139492687,17.376886743008605
경기,2024,16715695.0,660736.0,,,716.0,2631.0,31645.0,282243.0,192828.0,70933.0,15.739698528837717,107.27594070695552,0.04789356111972104,0.012325385919233461,0.869282434423984,0.3460432751272884,0.130717565576016,16.302874220751264,10.444137137759457,12.349051148728247,10.444137137759457
전남권,2024,3197241.0,203162.0,,,182.0,629.0,8742.0,59419.0,38921.0,16962.0,19.673211997469068,94.46581875993641,0.04302970043610518,0.028017778001062005,0.746991389554409,0.20653860902365007,0.253008610445591,16.252166582343435,9.853708964339436,15.314254180343493,9.853708964339436
경북권,2024,4895013.0,306063.0,,,235.0,847.0,12661.0,78234.0,49661.0,23805.0,17.303324832845185,92.3659976387249,0.0413673001963648,0.01856332999330909,0.7269455757819717,0.1588578456422487,0.2730544242180283,15.015853328452867,8.418949207021305,14.844407923271472,8.418949207021305
충남권,2024,3966416.0,178605.0,,,202.0,813.0,6686.0,67013.0,43280.0,19380.0,20.497093597847527,82.42681426814268,0.03743456230228717,0.03130457826379039,0.6320617702596019,0.046059531201514625,0.36793822974039814,14.84341130685677,7.8924245079690785,17.08179853464546,7.8924245079690785
전북,2024,1738690.0,130243.0,,,82.0,321.0,4935.0,27523.0,17321.0,8504.0,18.462175545957013,85.74143302180686,0.03789071197684329,0.02318645888290835,0.6637045752544601,0.059142761207791494,0.33629542474553986,13.954154827874657,7.257875305839076,15.715278457051566,7.257875305839076
충북,2024,1591177.0,79187.0,,,76.0,232.0,2891.0,24972.0,15708.0,7690.0,14.580401803193485,107.63793103448276,0.03650851781226717,0.0077004777034445915,0.8727381529229234,0.01949883471353142,0.12726184707707655,5.148705316468419,2.6117896278444337,5.8490701691540625,2.6117896278444337
강원,2024,1517766.0,84290.0,,,76.0,192.0,3020.0,23226.0,13904.0,7805.0,12.650171370290282,120.96875,0.03582868667694863,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
