,A1(변호사),"A2(사건부담,역)",A3(취약계층)
equal,0.3333333333333333,0.3333333333333333,0.3333333333333333
entropy,0.639184910413619,0.13140309483612247,0.22941199475025856
pca,0.4048264100283959,0.40615191178009635,0.18902167819150759
