,A1(변호사),"A2(사건부담,역)",A3(취약계층)
equal,0.3333333333333333,0.3333333333333333,0.3333333333333333
entropy,0.6872568635044634,0.1415329626556575,0.17121017383987913
pca,0.44485431379748686,0.4447936499674576,0.11035203623505548
