,A1(변호사),"A2(사건부담,역)",A3(취약계층)
equal,0.3333333333333333,0.3333333333333333,0.3333333333333333
entropy,0.4014199246115769,0.2080610334684325,0.3905190419199906
pca,0.47984075976519724,0.4800529898045205,0.040106250430282264
