k,inertia,silhouette
2,1.596627990960932,0.586261173806718
3,0.5600136490031958,0.4961668032287699
4,0.3337953996346208,0.5093482536248172
5,0.1395518056377427,0.5580597276095529
6,0.04492800649778157,0.5687733163948739
